Comment,Designator,Footprint,LCSC
2.7k,"R14,R3,R8",R_0805_2012Metric,C17530
680,"R13,R2,R7",R_0603_1608Metric,C23228
75k,"R1,R11,R17",R_0603_1608Metric,C23242
10,"R10,R16,R6",R_0402_1005Metric,C25077
47k,"R12,R18,R5",R_0603_1608Metric,C25819
PD333-3B/H0/L2,"LED1,LED2,LED3",LED_PD333_EVE,C264286
2N3904,"Q1,Q2,Q3",TO-92_Inline,C2874602
100n,"C2,C4,C6",C_0402_1005Metric,C307331
1.8k,"R15,R4,R9",R_0603_1608Metric,C4177
220n,"C1,C3,C5",C_0805_2012Metric,C5378
TSAL4400,"D2,D3,D5",LED_D3.0mm_IRBlack,C94135
