Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220n,C_0805_2012Metric,112.95,-73.0,0.0,top
C2,100n,C_0402_1005Metric,115.48,-77.0,0.0,top
C3,220n,C_0805_2012Metric,145.0,-73.0,0.0,top
C4,100n,C_0402_1005Metric,144.48,-76.0,0.0,top
C5,220n,C_0805_2012Metric,162.45,-81.5,0.0,top
C6,100n,C_0402_1005Metric,165.98,-81.5,0.0,top
D2,TSAL4400,LED_D3.0mm_IRBlack,110.275,-68.0,0.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,144.275,-68.0,0.0,top
D5,TSAL4400,LED_D3.0mm_IRBlack,162.235,-67.0,0.0,top
LED1,PD333-3B/H0/L2,LED_PD333_EVE,107.5,-74.365,90.0,top
LED2,PD333-3B/H0/L2,LED_PD333_EVE,136.635,-68.0,0.0,top
LED3,PD333-3B/H0/L2,LED_PD333_EVE,166.5,-72.135,-90.0,top
Q1,2N3904,TO-92_Inline,106.73,-81.64,0.0,top
Q2,2N3904,TO-92_Inline,129.73,-68.14,0.0,top
Q3,2N3904,TO-92_Inline,159.0,-73.0,0.0,top
R1,75k,R_0603_1608Metric,115.0,-80.0,0.0,top
R2,680,R_0603_1608Metric,111.325,-83.5,0.0,top
R3,2.7k,R_0805_2012Metric,111.4125,-80.0,0.0,top
R4,1.8k,R_0603_1608Metric,112.825,-76.5,0.0,top
R5,47k,R_0603_1608Metric,122.5,-77.0,0.0,top
R6,10,R_0402_1005Metric,105.01,-70.0,0.0,top
R7,680,R_0603_1608Metric,126.675,-72.5,0.0,top
R8,2.7k,R_0805_2012Metric,130.4125,-73.0,0.0,top
R9,1.8k,R_0603_1608Metric,134.325,-72.5,0.0,top
R10,10,R_0402_1005Metric,123.51,-69.5,0.0,top
R11,75k,R_0603_1608Metric,140.325,-81.5,0.0,top
R12,47k,R_0603_1608Metric,144.675,-81.5,0.0,top
R13,680,R_0603_1608Metric,148.825,-71.0,0.0,top
R14,2.7k,R_0805_2012Metric,152.4125,-71.5,0.0,top
R15,1.8k,R_0603_1608Metric,148.825,-74.0,0.0,top
R16,10,R_0402_1005Metric,168.51,-68.5,0.0,top
R17,75k,R_0603_1608Metric,163.325,-78.0,0.0,top
R18,47k,R_0603_1608Metric,166.675,-78.0,0.0,top
